cycle_id,timestamp,total_adrs,pending,accepted,rejected,adoption_rate
1,2025-11-03T16:33:56.387Z,0,0,0,0,0.0000
11,2025-11-03T16:35:36.415Z,0,0,0,0,0.0000
21,2025-11-03T16:37:16.436Z,0,0,0,0,0.0000
31,2025-11-03T16:38:56.470Z,0,0,0,0,0.0000
6,2025-11-03T16:40:59.244Z,0,0,0,0,0.0000
16,2025-11-03T16:42:39.260Z,0,0,0,0,0.0000
26,2025-11-03T16:44:19.293Z,0,0,0,0,0.0000
36,2025-11-03T16:45:59.326Z,0,0,0,0,0.0000
46,2025-11-03T16:47:39.360Z,0,0,0,0,0.0000
56,2025-11-03T16:49:19.388Z,0,0,0,0,0.0000
66,2025-11-03T16:50:59.430Z,0,0,0,0,0.0000
76,2025-11-03T16:52:39.453Z,0,0,0,0,0.0000
6,2025-11-03T16:54:33.036Z,0,0,0,0,0.0000
16,2025-11-03T16:56:13.070Z,0,0,0,0,0.0000
26,2025-11-03T16:57:53.097Z,0,0,0,0,0.0000
4,2025-11-03T16:59:46.597Z,0,0,0,0,0.0000
14,2025-11-03T17:01:26.604Z,0,0,0,0,0.0000
24,2025-11-03T17:03:06.627Z,0,0,0,0,0.0000
34,2025-11-03T17:04:46.656Z,0,0,0,0,0.0000
44,2025-11-03T17:06:26.690Z,0,0,0,0,0.0000
5,2025-11-03T17:08:13.451Z,0,0,0,0,0.0000
15,2025-11-03T17:09:53.463Z,0,0,0,0,0.0000
25,2025-11-03T17:11:33.492Z,0,0,0,0,0.0000
2,2025-11-03T17:13:22.589Z,0,0,0,0,0.0000
12,2025-11-03T17:15:02.605Z,0,0,0,0,0.0000
22,2025-11-03T17:16:42.633Z,0,0,0,0,0.0000
3,2025-11-03T17:52:10.665Z,0,0,0,0,0.0000
13,2025-11-03T17:53:50.699Z,0,0,0,0,0.0000
10,2025-11-03T17:55:48.339Z,0,0,0,0,0.0000
20,2025-11-03T17:57:28.378Z,0,0,0,0,0.0000
30,2025-11-03T17:59:08.403Z,0,0,0,0,0.0000
40,2025-11-03T18:00:48.445Z,0,0,0,0,0.0000
50,2025-11-03T18:02:28.482Z,0,0,0,0,0.0000
60,2025-11-03T18:04:08.536Z,0,0,0,0,0.0000
9,2025-11-03T18:06:06.213Z,0,0,0,0,0.0000
19,2025-11-03T18:07:46.249Z,0,0,0,0,0.0000
29,2025-11-03T18:09:26.293Z,0,0,0,0,0.0000
1,2025-11-03T18:11:15.834Z,0,0,0,0,0.0000
11,2025-11-03T18:12:55.855Z,0,0,0,0,0.0000
21,2025-11-03T18:14:35.887Z,0,0,0,0,0.0000
31,2025-11-03T18:16:15.915Z,0,0,0,0,0.0000
2,2025-11-03T18:18:09.165Z,0,0,0,0,0.0000
2,2025-11-03T18:19:59.875Z,0,0,0,0,0.0000
12,2025-11-03T18:21:39.905Z,0,0,0,0,0.0000
22,2025-11-03T18:23:19.937Z,0,0,0,0,0.0000
32,2025-11-03T18:24:59.967Z,0,0,0,0,0.0000
42,2025-11-03T18:26:40.011Z,0,0,0,0,0.0000
2,2025-11-03T18:28:37.510Z,0,0,0,0,0.0000
12,2025-11-03T18:30:17.541Z,0,0,0,0,0.0000
22,2025-11-03T18:31:57.574Z,0,0,0,0,0.0000
32,2025-11-03T18:33:37.606Z,0,0,0,0,0.0000
42,2025-11-03T18:35:17.639Z,0,0,0,0,0.0000
52,2025-11-03T18:36:57.658Z,0,0,0,0,0.0000
62,2025-11-03T18:38:37.692Z,0,0,0,0,0.0000
72,2025-11-03T18:40:17.711Z,0,0,0,0,0.0000
82,2025-11-03T18:41:57.734Z,0,0,0,0,0.0000
92,2025-11-03T18:43:37.770Z,0,0,0,0,0.0000
102,2025-11-03T18:45:17.806Z,0,0,0,0,0.0000
112,2025-11-03T18:46:57.840Z,0,0,0,0,0.0000
122,2025-11-03T18:48:37.871Z,0,0,0,0,0.0000
132,2025-11-03T18:50:17.902Z,0,0,0,0,0.0000
142,2025-11-03T18:51:57.938Z,0,0,0,0,0.0000
1,2025-11-03T18:53:55.925Z,0,0,0,0,0.0000
11,2025-11-03T18:55:35.958Z,0,0,0,0,0.0000
21,2025-11-03T18:57:16.004Z,0,0,0,0,0.0000
31,2025-11-03T18:58:56.039Z,0,0,0,0,0.0000
41,2025-11-03T19:00:36.082Z,0,0,0,0,0.0000
51,2025-11-03T19:02:16.098Z,0,0,0,0,0.0000
61,2025-11-03T19:03:56.127Z,0,0,0,0,0.0000
